Full Name,Job Title,Department,Business Unit,Gender,Ethnicity,Age,Hire Date,Annual Salary,Bonus %,Country,City,Exit Date,is_exited,,,,,,,,,,,
Riley Padilla,Technical Architect,IT,Manufacturing,Female,Latino,35,15-05-2013,"$78,940.00",0%,United States,Miami,,NO,,,,,,,,,,,
Leah Pena,Enterprise Architect,IT,Corporate,Female,Latino,57,01-03-1994,"$82,872.00",0%,Brazil,Manaus,,NO,,,,,,,,,,,
Owen Lam,Sr. Business Partner,Human Resources,Speciality Products,Male,Asian,30,29-05-2017,"$86,317.00",0%,China,Chengdu,16-07-2017, YES,,,,,,,,,,,
Kennedy Foster,Manager,Marketing,Speciality Products,Female,Caucasian,53,23-11-2013,"$1,13,135",5%,United States,Austin,,NO,,,,,,,,,,,
John Moore,Vice President,IT,Speciality Products,Male,Caucasian,52,11-08-2005,"$1,99,808",32%,United States,Seattle,,NO,,,,,,,,,,,
William Vu,Account Representative,Sales,Speciality Products,Male,Asian,37,14-11-2013,"$56,037.00",0%,China,Shanghai,,NO,,,,,,,,,,,
Sadie Washington,Sr. Manger,Marketing,Research & Development,Female,Caucasian,29,24-05-2019,"$1,22,350",12%,United States,Phoenix,,NO,,,,,,,,,,,
Gabriel Holmes,Enterprise Architect,IT,Research & Development,Male,Caucasian,40,11-04-2010,"$92,952.00",0%,United States,Seattle,,NO,,,,,,,,,,,
Wyatt Rojas,Computer Systems Manager,IT,Corporate,Male,Latino,32,20-03-2013,"$79,921.00",5%,United States,Austin,,NO,,,,,,,,,,,
Eva Coleman,Director,IT,Research & Development,Female,Black,37,20-09-2009,"$1,67,199",20%,United States,Seattle,,NO,,,,,,,,,,,
Dominic Clark,Quality Engineer,Engineering,Research & Development,Male,Caucasian,52,17-10-2012,"$71,476.00",0%,United States,Phoenix,,NO,,,,,,,,,,,
Lucy Alexander,Director,Engineering,Manufacturing,Female,Caucasian,45,29-10-2014,"$1,89,420",20%,United States,Seattle,,NO,,,,,,,,,,,
Everleigh Washington,HRIS Analyst,Human Resources,Research & Development,Female,Caucasian,64,20-10-2001,"$64,057.00",0%,United States,Phoenix,,NO,,,,,,,,,,,
Leilani Butler,Analyst II,Marketing,Manufacturing,Female,Black,27,21-09-2021,"$68,728.00",0%,United States,Phoenix,,NO,,,,,,,,,,,
Peyton Huang,Sr. Manger,IT,Manufacturing,Female,Asian,25,07-02-2021,"$1,25,633",11%,China,Beijing,,NO,,,,,,,,,,,
John Contreras,Analyst II,Marketing,Manufacturing,Male,Latino,35,15-05-2011,"$66,889.00",0%,United States,Columbus,,NO,,,,,,,,,,,
Eli Jones,Manager,Human Resources,Manufacturing,Male,Caucasian,59,14-03-1999,"$1,05,086",9%,United States,Austin,,NO,,,,,,,,,,,
Rylee Yu,Director,Accounting,Research & Development,Female,Asian,36,29-09-2015,"$1,78,700",29%,United States,Seattle,,NO,,,,,,,,,,,
Piper Lewis,Field Engineer,Engineering,Research & Development,Female,Caucasian,33,22-12-2018,"$83,990.00",0%,United States,Chicago,,NO,,,,,,,,,,,
Stella Alexander,Automation Engineer,Engineering,Corporate,Female,Caucasian,52,12-10-2005,"$1,02,043",0%,United States,Chicago,,NO,,,,,,,,,,,
Addison Do,Operations Engineer,Engineering,Manufacturing,Female,Asian,46,30-05-2001,"$90,678.00",0%,United States,Columbus,,NO,,,,,,,,,,,
Zoey Jackson,Business Partner,Human Resources,Manufacturing,Female,Black,46,21-08-2008,"$59,067.00",0%,United States,Miami,,NO,,,,,,,,,,,
John Chow,Sr. Manger,Marketing,Research & Development,Male,Asian,45,03-11-2021,"$1,35,062",15%,China,Chengdu,,NO,,,,,,,,,,,
Ava Ayala,Sr. Manger,IT,Corporate,Female,Latino,55,16-08-2006,"$1,59,044",10%,Brazil,Manaus,,NO,,,,,,,,,,,
Natalia Salazar,Sr. Analyst,Accounting,Manufacturing,Female,Latino,44,01-02-2019,"$74,691.00",0%,Brazil,Manaus,07-08-2020, YES,,,,,,,,,,,
Skylar Carrillo,Engineering Manager,Engineering,Corporate,Female,Latino,44,18-12-2008,"$92,753.00",13%,United States,Austin,24-06-2021, YES,,,,,,,,,,,
Christian Sanders,Vice President,Human Resources,Speciality Products,Male,Black,45,08-07-2013,"$2,36,946",37%,United States,Seattle,,NO,,,,,,,,,,,
Penelope Coleman,Analyst,Finance,Corporate,Female,Black,36,27-08-2021,"$48,906.00",0%,United States,Miami,,NO,,,,,,,,,,,
Piper Richardson,Sr. Analyst,Sales,Corporate,Female,Caucasian,38,27-01-2008,"$80,024.00",0%,United States,Columbus,,NO,,,,,,,,,,,
Everly Walker,HRIS Analyst,Human Resources,Speciality Products,Female,Caucasian,41,23-10-2009,"$54,415.00",0%,United States,Seattle,22-01-2014, YES,,,,,,,,,,,
Aurora Ali,Manager,Marketing,Research & Development,Female,Asian,30,24-04-2016,"$1,20,341",7%,United States,Seattle,,NO,,,,,,,,,,,
Penelope Guerrero,Vice President,IT,Speciality Products,Female,Latino,43,08-04-2009,"$2,08,415",35%,United States,Seattle,,NO,,,,,,,,,,,
Anna Mehta,Cloud Infrastructure Architect,IT,Speciality Products,Female,Asian,32,01-05-2020,"$78,844.00",0%,United States,Seattle,,NO,,,,,,,,,,,
William Foster,Field Engineer,Engineering,Manufacturing,Male,Caucasian,58,23-05-2002,"$76,354.00",0%,United States,Phoenix,26-09-2021, YES,,,,,,,,,,,
Jade Rojas,Director,Finance,Speciality Products,Female,Latino,37,28-01-2019,"$1,65,927",20%,United States,Phoenix,,NO,,,,,,,,,,,
Isla Espinoza,Manager,Accounting,Speciality Products,Female,Latino,38,16-11-2021,"$1,09,812",9%,Brazil,Manaus,,NO,,,,,,,,,,,
David Chu,Controls Engineer,Engineering,Corporate,Male,Asian,55,09-03-1998,"$86,299.00",0%,United States,Seattle,,NO,,,,,,,,,,,
Thomas Padilla,Vice President,Marketing,Research & Development,Male,Latino,57,26-07-2003,"$2,06,624",40%,Brazil,Sao Paulo,,NO,,,,,,,,,,,
Miles Salazar,IT Coordinator,IT,Manufacturing,Male,Latino,36,23-12-2010,"$53,215.00",0%,Brazil,Sao Paulo,27-03-2014, YES,,,,,,,,,,,
Mila Hong,Test Engineer,Engineering,Research & Development,Female,Asian,30,22-05-2017,"$86,858.00",0%,China,Chongqing,10-08-2017, YES,,,,,,,,,,,
Benjamin Moua,Computer Systems Manager,IT,Manufacturing,Male,Asian,40,07-02-2007,"$93,971.00",8%,China,Chongqing,,NO,,,,,,,,,,,
Samuel Morales,Analyst II,Finance,Corporate,Male,Latino,34,27-06-2015,"$57,008.00",0%,United States,Phoenix,,NO,,,,,,,,,,,
John Soto,Sr. Manger,Finance,Manufacturing,Male,Latino,60,23-09-2015,"$1,41,899",15%,United States,Phoenix,,NO,,,,,,,,,,,
Joseph Martin,Analyst II,Marketing,Corporate,Male,Black,41,13-09-2016,"$64,847.00",0%,United States,Miami,,NO,,,,,,,,,,,
Jose Ross,Engineering Manager,Engineering,Research & Development,Male,Caucasian,53,04-08-1992,"$1,16,878",11%,United States,Miami,,NO,,,,,,,,,,,
Parker James,Quality Engineer,Engineering,Speciality Products,Male,Black,45,02-05-2005,"$70,505.00",0%,United States,Austin,,NO,,,,,,,,,,,
Everleigh Fernandez,Director,Engineering,Research & Development,Female,Latino,30,22-05-2016,"$1,89,702",28%,Brazil,Manaus,21-12-2020, YES,,,,,,,,,,,
Lincoln Hall,Director,Accounting,Speciality Products,Male,Caucasian,26,28-07-2020,"$1,80,664",27%,United States,Chicago,,NO,,,,,,,,,,,
Willow Mai,Business Partner,Human Resources,Manufacturing,Female,Asian,45,17-12-2003,"$48,345.00",0%,China,Chengdu,,NO,,,,,,,,,,,
Jack Cheng,Director,Human Resources,Manufacturing,Male,Asian,42,16-01-2014,"$1,52,214",30%,China,Beijing,,NO,,,,,,,,,,,
Genesis Navarro,Cloud Infrastructure Architect,IT,Corporate,Female,Latino,41,28-04-2009,"$69,803.00",0%,Brazil,Manaus,,NO,,,,,,,,,,,
Eliza Hernandez,Network Architect,IT,Corporate,Female,Latino,48,07-04-2019,"$76,588.00",0%,Brazil,Rio de Janerio,,NO,,,,,,,,,,,
Gabriel Brooks,Network Engineer,IT,Manufacturing,Male,Caucasian,29,12-10-2018,"$84,596.00",0%,United States,Miami,,NO,,,,,,,,,,,
Jack Huynh,Manager,Marketing,Research & Development,Male,Asian,27,25-09-2018,"$1,14,441",10%,China,Chongqing,22-12-2019, YES,,,,,,,,,,,
Everly Chow,Sr. Manger,Finance,Speciality Products,Female,Asian,33,21-04-2018,"$1,40,402",15%,China,Beijing,,NO,,,,,,,,,,,
Amelia Salazar,Analyst II,Finance,Corporate,Female,Latino,26,23-04-2019,"$59,817.00",0%,Brazil,Sao Paulo,,NO,,,,,,,,,,,
Xavier Zheng,Account Representative,Sales,Manufacturing,Male,Asian,31,22-07-2017,"$55,854.00",0%,United States,Austin,,NO,,,,,,,,,,,
Matthew Chau,Sr. Business Partner,Human Resources,Research & Development,Male,Asian,53,16-11-2002,"$95,998.00",0%,United States,Seattle,,NO,,,,,,,,,,,
Mia Cheng,Sr. Manger,Sales,Manufacturing,Female,Asian,34,22-04-2015,"$1,54,941",13%,United States,Phoenix,,NO,,,,,,,,,,,
Rylee Yu,Vice President,Finance,Speciality Products,Female,Asian,54,07-10-2011,"$2,47,022",30%,China,Beijing,,NO,,,,,,,,,,,
Zoe Romero,Network Architect,IT,Manufacturing,Female,Latino,32,10-05-2021,"$88,072.00",0%,Brazil,Sao Paulo,,NO,,,,,,,,,,,
Nolan Bui,Computer Systems Manager,IT,Research & Development,Male,Asian,28,26-05-2020,"$67,925.00",8%,China,Shanghai,,NO,,,,,,,,,,,
Nevaeh Jones,Vice President,Sales,Manufacturing,Female,Caucasian,31,20-08-2020,"$2,19,693",30%,United States,Austin,,NO,,,,,,,,,,,
Samantha Adams,Test Engineer,Engineering,Research & Development,Female,Caucasian,45,22-04-2013,"$61,773.00",0%,United States,Seattle,,NO,,,,,,,,,,,
Madeline Shin,Computer Systems Manager,IT,Speciality Products,Female,Asian,48,01-09-2007,"$74,546.00",9%,United States,Seattle,,NO,,,,,,,,,,,
Noah King,Development Engineer,Engineering,Speciality Products,Male,Black,56,27-01-2015,"$62,575.00",0%,United States,Miami,,NO,,,,,,,,,,,
Natalia Salazar,Sr. Analyst,Accounting,Manufacturing,Female,Latino,44,01-02-2019,"$74,691.00",0%,Brazil,Manaus,07-08-2020, YES,,,,,,,,,,,
Leilani Chow,Director,Human Resources,Corporate,Female,Asian,27,23-02-2021,"$1,99,041",16%,China,Beijing,,NO,,,,,,,,,,,
Connor Simmons,Analyst II,Accounting,Speciality Products,Male,Caucasian,55,04-05-2007,"$52,310.00",0%,United States,Miami,10-12-2018, YES,,,,,,,,,,,
Grayson Cooper,Sr. Manger,Finance,Speciality Products,Male,Black,64,29-06-2013,"$1,59,571",10%,United States,Columbus,,NO,,,,,,,,,,,
Ivy Soto,Field Engineer,Engineering,Research & Development,Female,Latino,50,23-10-1997,"$91,763.00",0%,United States,Austin,,NO,,,,,,,,,,,
Aurora Simmons,Development Engineer,Engineering,Corporate,Female,Caucasian,51,22-12-1995,"$96,475.00",0%,United States,Austin,,NO,,,,,,,,,,,
Andrew Thomas,Controls Engineer,Engineering,Manufacturing,Male,Caucasian,36,12-02-2016,"$1,13,781",0%,United States,Columbus,,NO,,,,,,,,,,,
Ezekiel Desai,Director,Finance,Research & Development,Male,Asian,42,15-01-2003,"$1,66,599",26%,United States,Seattle,,NO,,,,,,,,,,,
Gabriella Gupta,Sr. Account Representative,Sales,Corporate,Female,Asian,41,15-02-2005,"$95,372.00",0%,China,Shanghai,,NO,,,,,,,,,,,
Skylar Liu,Director,IT,Research & Development,Female,Asian,29,08-09-2020,"$1,61,203",15%,China,Chengdu,,NO,,,,,,,,,,,
Nova Coleman,System Administrator,IT,Manufacturing,Female,Caucasian,44,13-12-2006,"$74,738.00",0%,United States,Miami,,NO,,,,,,,,,,,
Evelyn Dinh,Director,Sales,Research & Development,Female,Asian,41,08-10-2018,"$1,71,173",21%,United States,Columbus,,NO,,,,,,,,,,,
Brooks Marquez,Vice President,Sales,Corporate,Male,Latino,61,24-09-2019,"$2,01,464",37%,United States,Chicago,,NO,,,,,,,,,,,
Connor Joseph,Director,Human Resources,Corporate,Male,Caucasian,50,22-07-1998,"$1,74,895",15%,United States,Chicago,,NO,,,,,,,,,,,
Mia Lam,Sr. Manger,IT,Manufacturing,Female,Asian,49,18-04-2006,"$1,34,486",14%,United States,Austin,,NO,,,,,,,,,,,
Scarlett Rodriguez,Sr. Analyst,Finance,Manufacturing,Female,Latino,60,24-02-2007,"$71,699.00",0%,Brazil,Manaus,,NO,,,,,,,,,,,
Cora Rivera,Sr. Analyst,Marketing,Corporate,Female,Latino,42,01-02-2021,"$94,430.00",0%,United States,Seattle,,NO,,,,,,,,,,,
Liam Jung,Manager,Finance,Corporate,Male,Asian,39,14-01-2010,"$1,03,504",7%,China,Chengdu,,NO,,,,,,,,,,,
Sophia Huynh,Enterprise Architect,IT,Manufacturing,Female,Asian,55,08-09-2005,"$92,771.00",0%,United States,Miami,,NO,,,,,,,,,,,
Athena Carrillo,Analyst II,Finance,Speciality Products,Female,Latino,39,04-06-2006,"$71,531.00",0%,United States,Columbus,,NO,,,,,,,,,,,
Greyson Sanders,Cloud Infrastructure Architect,IT,Speciality Products,Male,Black,28,03-06-2019,"$90,304.00",0%,United States,Chicago,,NO,,,,,,,,,,,
Vivian Lewis,Manager,Marketing,Manufacturing,Female,Caucasian,65,09-07-2011,"$1,04,903",10%,United States,Columbus,,NO,,,,,,,,,,,
Elena Vang,Analyst,Finance,Corporate,Female,Asian,52,19-02-2019,"$55,859.00",0%,China,Beijing,,NO,,,,,,,,,,,
Natalia Diaz,Operations Engineer,Engineering,Corporate,Female,Latino,62,10-12-2006,"$79,785.00",0%,United States,Austin,,NO,,,,,,,,,,,
Mila Leung,Sr. Analyst,Marketing,Corporate,Female,Asian,39,11-05-2007,"$99,017.00",0%,China,Beijing,,NO,,,,,,,,,,,
Ava Nelson,Systems Analyst,IT,Manufacturing,Female,Caucasian,63,04-01-1992,"$53,809.00",0%,United States,Phoenix,,NO,,,,,,,,,,,
Mateo Chu,Field Engineer,Engineering,Speciality Products,Male,Asian,27,16-04-2020,"$71,864.00",0%,China,Chengdu,,NO,,,,,,,,,,,
Isla Lai,Vice President,Finance,Corporate,Female,Asian,37,12-06-2011,"$2,25,558",33%,China,Shanghai,,NO,,,,,,,,,,,
Ezekiel Reed,Sr. Manger,IT,Manufacturing,Male,Caucasian,37,25-02-2014,"$1,28,984",12%,United States,Miami,05-01-2021, YES,,,,,,,,,,,
Nolan Guzman,Field Engineer,Engineering,Speciality Products,Male,Latino,46,20-06-1999,"$96,997.00",0%,Brazil,Sao Paulo,,NO,,,,,,,,,,,
Everleigh Espinoza,Director,Human Resources,Manufacturing,Female,Latino,54,22-01-2018,"$1,76,294",28%,United States,Austin,,NO,,,,,,,,,,,
Evelyn Jung,Analyst,Sales,Research & Development,Female,Asian,30,14-02-2021,"$48,340.00",0%,China,Beijing,,NO,,,,,,,,,,,
Sophie Silva,Vice President,Engineering,Corporate,Female,Latino,28,07-06-2017,"$2,40,488",40%,Brazil,Rio de Janerio,,NO,,,,,,,,,,,
Mateo Williams,Enterprise Architect,IT,Manufacturing,Male,Caucasian,40,22-01-2011,"$97,339.00",0%,United States,Austin,,NO,,,,,,,,,,,
Kennedy Rahman,Vice President,Human Resources,Manufacturing,Female,Asian,49,28-02-2003,"$2,11,291",37%,China,Chongqing,,NO,,,,,,,,,,,
Levi Mendez,Vice President,Sales,Research & Development,Male,Latino,39,23-08-2011,"$2,49,506",30%,Brazil,Rio de Janerio,,NO,,,,,,,,,,,
Julian Fong,Quality Engineer,Engineering,Speciality Products,Male,Asian,61,22-11-2002,"$80,950.00",0%,China,Chongqing,,NO,,,,,,,,,,,
Nevaeh Kang,Automation Engineer,Engineering,Research & Development,Female,Asian,46,01-10-2021,"$86,538.00",0%,China,Chengdu,,NO,,,,,,,,,,,
Hannah Nelson,Sr. Analyst,Marketing,Speciality Products,Female,Caucasian,35,09-07-2019,"$70,992.00",0%,United States,Austin,,NO,,,,,,,,,,,
Anthony Rogers,Vice President,Engineering,Corporate,Male,Caucasian,33,18-06-2015,"$2,05,314",30%,United States,Columbus,,NO,,,,,,,,,,,
Paisley Kang,Vice President,Human Resources,Corporate,Female,Asian,61,03-10-2017,"$1,96,951",33%,China,Beijing,,NO,,,,,,,,,,,
Matthew Gupta,Network Engineer,IT,Speciality Products,Male,Asian,45,18-09-2005,"$67,686.00",0%,China,Beijing,,NO,,,,,,,,,,,
Silas Chavez,Technical Architect,IT,Research & Development,Male,Latino,51,15-04-2008,"$86,431.00",0%,United States,Columbus,,NO,,,,,,,,,,,
Colton Thao,Manager,Human Resources,Manufacturing,Male,Asian,55,16-11-1995,"$1,25,936",8%,China,Chongqing,,NO,,,,,,,,,,,
Genesis Perry,Sr. Manger,Sales,Corporate,Female,Caucasian,46,18-07-2013,"$1,49,712",14%,United States,Columbus,,NO,,,,,,,,,,,
Alexander Bryant,Field Engineer,Engineering,Speciality Products,Male,Caucasian,30,10-02-2021,"$88,758.00",0%,United States,Seattle,,NO,,,,,,,,,,,
Elias Zhang,Solutions Architect,IT,Research & Development,Male,Asian,54,13-07-2013,"$83,639.00",0%,China,Beijing,,NO,,,,,,,,,,,
Lily Carter,Network Architect,IT,Research & Development,Female,Caucasian,54,18-05-1998,"$68,268.00",0%,United States,Phoenix,,NO,,,,,,,,,,,
Joseph Ruiz,Field Engineer,Engineering,Manufacturing,Male,Latino,45,26-02-2002,"$75,819.00",0%,Brazil,Sao Paulo,,NO,,,,,,,,,,,
Avery Bailey,Sr. Analyst,Sales,Speciality Products,Female,Caucasian,49,15-05-1996,"$86,658.00",0%,United States,Phoenix,,NO,,,,,,,,,,,
Miles Hsu,Analyst II,Finance,Research & Development,Male,Asian,55,16-03-2014,"$74,552.00",0%,China,Chengdu,,NO,,,,,,,,,,,
Piper Cheng,Enterprise Architect,IT,Manufacturing,Female,Asian,62,15-03-2009,"$82,839.00",0%,United States,Miami,,NO,,,,,,,,,,,
Skylar Watson,Network Architect,IT,Speciality Products,Female,Caucasian,28,10-08-2021,"$64,475.00",0%,United States,Phoenix,,NO,,,,,,,,,,,
Jaxon Park,Network Architect,IT,Manufacturing,Male,Asian,33,24-07-2020,"$69,453.00",0%,China,Chengdu,,NO,,,,,,,,,,,
Elijah Henry,Manager,IT,Corporate,Male,Caucasian,32,01-03-2014,"$1,27,148",10%,United States,Miami,,NO,,,,,,,,,,,
Connor Joseph,Director,Human Resources,Corporate,Male,Caucasian,50,22-07-1998,"$1,74,895",15%,United States,Chicago,,NO,,,,,,,,,,,
Camila Watson,Vice President,Finance,Speciality Products,Female,Caucasian,32,01-02-2018,"$1,90,253",33%,United States,Austin,,NO,,,,,,,,,,,
Lucas Thomas,Manager,Accounting,Research & Development,Male,Caucasian,55,28-04-2000,"$1,15,798",5%,United States,Miami,,NO,,,,,,,,,,,
Skylar Doan,Sr. Business Partner,Human Resources,Research & Development,Female,Asian,58,21-08-1994,"$93,102.00",0%,United States,Seattle,13-12-2013, YES,,,,,,,,,,,
Hudson Liu,Engineering Manager,Engineering,Speciality Products,Male,Asian,34,16-11-2017,"$1,10,054",15%,United States,Miami,,NO,,,,,,,,,,,
Gianna Williams,Quality Engineer,Engineering,Research & Development,Female,Black,27,28-01-2021,"$95,786.00",0%,United States,Chicago,,NO,,,,,,,,,,,
Jaxson Sandoval,Sr. Analyst,Sales,Speciality Products,Male,Latino,61,05-03-2017,"$90,855.00",0%,Brazil,Sao Paulo,,NO,,,,,,,,,,,
Jameson Alvarado,Enterprise Architect,IT,Manufacturing,Male,Latino,47,14-03-1999,"$92,897.00",0%,Brazil,Sao Paulo,,NO,,,,,,,,,,,
Joseph Ly,Vice President,Marketing,Speciality Products,Male,Asian,40,28-02-2009,"$2,42,919",31%,China,Chongqing,,NO,,,,,,,,,,,
Daniel Richardson,Director,Engineering,Speciality Products,Male,Caucasian,30,20-05-2018,"$1,84,368",29%,United States,Austin,,NO,,,,,,,,,,,
Elias Figueroa,Sr. Manger,Finance,Corporate,Male,Latino,45,24-12-2021,"$1,44,754",15%,United States,Phoenix,,NO,,,,,,,,,,,
Emma Brooks,Sr. Account Representative,Sales,Research & Development,Female,Caucasian,30,18-12-2016,"$89,458.00",0%,United States,Austin,,NO,,,,,,,,,,,
Isla Wong,Vice President,Accounting,Corporate,Female,Asian,56,16-03-2014,"$1,90,815",40%,United States,Austin,,NO,,,,,,,,,,,
Everly Walker,Sr. Manger,Sales,Research & Development,Female,Caucasian,62,08-02-1999,"$1,37,995",14%,United States,Austin,,NO,,,,,,,,,,,
Mila Pena,Sr. Business Partner,Human Resources,Manufacturing,Female,Latino,45,21-12-2007,"$93,840.00",0%,Brazil,Manaus,,NO,,,,,,,,,,,
Mason Zhao,Technical Architect,IT,Research & Development,Male,Asian,46,26-10-2021,"$94,790.00",0%,China,Chongqing,,NO,,,,,,,,,,,
Jaxson Mai,Vice President,Human Resources,Research & Development,Male,Asian,48,03-08-2014,"$1,97,367",39%,United States,Austin,,NO,,,,,,,,,,,
Ava Garza,Director,Accounting,Manufacturing,Female,Latino,27,25-06-2018,"$1,74,097",21%,United States,Phoenix,,NO,,,,,,,,,,,
Nathan Mendez,Manager,IT,Speciality Products,Male,Latino,53,31-10-2006,"$1,20,128",10%,United States,Austin,,NO,,,,,,,,,,,
Maria Griffin,Manager,Marketing,Manufacturing,Female,Caucasian,59,25-04-2007,"$1,29,708",5%,United States,Miami,,NO,,,,,,,,,,,
